"","INDEX","X2000","X2087","change","EEZID"
"463",98773,21,18,-3,945
"464",98774,20,19,-1,945
"465",98775,21,18,-3,945
"466",98776,21,18,-3,945
"467",98777,20,18,-2,945
"468",98778,20,18,-2,945
"469",98779,20,18,-2,945
"470",98780,20,18,-2,945
"471",98781,20,11,-9,945
"472",98782,20,11,-9,945
"473",98783,20,8,-12,945
"474",98784,20,7,-13,945
"475",98785,18,7,-11,945
"476",98786,18,7,-11,945
"477",98787,20,8,-12,945
"478",98788,81,55,-26,945
"479",98789,81,56,-25,945
"480",98790,79,55,-24,945
"481",99486,18,14,-4,945
"482",99487,19,17,-2,945
"483",99488,18,17,-1,945
"484",99489,20,17,-3,945
"485",99490,21,17,-4,945
"486",99491,21,17,-4,945
"487",99492,21,17,-4,945
"488",99493,21,19,-2,945
"489",99494,20,19,-1,945
"490",99495,21,18,-3,945
"491",99496,20,18,-2,945
"492",99497,19,18,-1,945
"493",99498,19,18,-1,945
"494",99499,20,18,-2,945
"495",99500,20,18,-2,945
"496",99501,20,11,-9,945
"497",99502,20,11,-9,945
"498",99503,20,8,-12,945
"499",99504,20,7,-13,945
"500",99505,18,7,-11,945
"501",99506,18,7,-11,945
"502",99507,19,7,-12,945
"503",99508,55,28,-27,945
"504",99509,96,76,-20,945
"505",99510,96,76,-20,945
"506",100205,16,16,0,945
"507",100206,16,17,1,945
"508",100207,17,17,0,945
"509",100208,18,17,-1,945
"510",100209,20,17,-3,945
"511",100210,21,17,-4,945
"512",100211,20,18,-2,945
"513",100212,20,19,-1,945
"514",100213,19,19,0,945
"515",100214,19,19,0,945
"516",100215,20,18,-2,945
"517",100216,20,18,-2,945
"518",100217,20,18,-2,945
"519",100218,20,18,-2,945
"520",100219,20,18,-2,945
"521",100220,20,15,-5,945
"522",100221,20,10,-10,945
"523",100222,20,8,-12,945
"524",100223,20,7,-13,945
"525",100224,20,7,-13,945
"526",100225,20,7,-13,945
"527",100226,20,7,-13,945
"528",100227,20,7,-13,945
"529",100228,21,7,-14,945
"530",100229,75,52,-23,945
"531",100230,72,50,-22,945
"532",100924,14,16,2,945
"533",100925,16,16,0,945
"534",100926,16,16,0,945
"535",100927,17,17,0,945
"536",100928,17,17,0,945
"537",100929,19,17,-2,945
"538",100930,20,17,-3,945
"539",100931,19,18,-1,945
"540",100932,19,19,0,945
"541",100933,20,19,-1,945
"542",100934,19,19,0,945
"543",100935,20,18,-2,945
"544",100936,20,18,-2,945
"545",100937,19,18,-1,945
"546",100938,19,18,-1,945
"547",100939,19,17,-2,945
"548",100940,19,12,-7,945
"549",100941,19,8,-11,945
"550",100942,20,8,-12,945
"551",100943,20,7,-13,945
"552",100944,20,7,-13,945
"553",100945,20,7,-13,945
"554",100946,20,7,-13,945
"555",100947,20,7,-13,945
"556",100948,21,7,-14,945
"557",100949,67,45,-22,945
"558",100950,63,44,-19,945
"559",101644,13,17,4,945
"560",101645,14,17,3,945
"561",101646,16,17,1,945
"562",101647,17,18,1,945
"563",101648,18,18,0,945
"564",101649,18,18,0,945
"565",101650,19,18,-1,945
"566",101651,19,18,-1,945
"567",101652,20,19,-1,945
"568",101653,20,18,-2,945
"569",101654,20,18,-2,945
"570",101655,20,18,-2,945
"571",101656,18,18,0,945
"572",101657,18,18,0,945
"573",101658,18,18,0,945
"574",101659,16,10,-6,945
"575",101660,18,12,-6,945
"576",101661,19,8,-11,945
"577",101662,19,7,-12,945
"578",101663,19,7,-12,945
"579",101664,19,7,-12,945
"580",101665,18,7,-11,945
"581",101666,19,7,-12,945
"582",101667,19,7,-12,945
"583",101668,19,7,-12,945
"584",101669,20,9,-11,945
"585",101670,83,65,-18,945
"586",101671,83,68,-15,945
"587",101672,79,64,-15,945
"588",102364,13,17,4,945
"589",102365,13,17,4,945
"590",102366,14,17,3,945
"591",102367,16,18,2,945
"592",102368,17,18,1,945
"593",102369,18,18,0,945
"594",102370,18,18,0,945
"595",102371,18,18,0,945
"596",102372,19,19,0,945
"597",102373,19,18,-1,945
"598",102374,19,18,-1,945
"599",102375,18,18,0,945
"600",102376,18,18,0,945
"601",102377,18,18,0,945
"602",102378,31,23,-8,945
"603",102379,29,18,-11,945
"604",102380,18,11,-7,945
"605",102381,19,7,-12,945
"606",102382,19,7,-12,945
"607",102383,19,7,-12,945
"608",102384,18,7,-11,945
"609",102385,18,7,-11,945
"610",102386,18,7,-11,945
"611",102387,19,7,-12,945
"612",102388,19,7,-12,945
"613",102389,18,7,-11,945
"614",102390,19,8,-11,945
"615",102391,26,16,-10,945
"616",102392,83,68,-15,945
"617",102393,84,66,-18,945
"618",103084,12,18,6,945
"619",103085,13,18,5,945
"620",103086,13,18,5,945
"621",103087,16,18,2,945
"622",103088,16,18,2,945
"623",103089,16,18,2,945
"624",103090,17,18,1,945
"625",103091,16,16,0,945
"626",103092,17,18,1,945
"627",103093,17,18,1,945
"628",103094,16,18,2,945
"629",103095,17,18,1,945
"630",103096,17,18,1,945
"631",103097,18,17,-1,945
"632",103098,19,12,-7,945
"633",103099,18,11,-7,945
"634",103100,18,8,-10,945
"635",103101,18,7,-11,945
"636",103102,18,7,-11,945
"637",103103,17,7,-10,945
"638",103104,18,7,-11,945
"639",103105,19,7,-12,945
"640",103106,19,7,-12,945
"641",103107,19,7,-12,945
"642",103108,19,7,-12,945
"643",103109,18,7,-11,945
"644",103110,19,7,-12,945
"645",103111,18,8,-10,945
"646",103112,22,12,-10,945
"647",103113,85,62,-23,945
"648",103114,84,62,-22,945
"649",103115,83,61,-22,945
"650",103116,59,40,-19,945
"651",103804,12,18,6,945
"652",103805,13,18,5,945
"653",103806,13,18,5,945
"654",103807,15,17,2,945
"655",103808,15,17,2,945
"656",103809,16,17,1,945
"657",103810,16,17,1,945
"658",103811,15,17,2,945
"659",103812,15,18,3,945
"660",103813,15,18,3,945
"661",103814,16,18,2,945
"662",103815,16,18,2,945
"663",103816,16,17,1,945
"664",103817,17,11,-6,945
