"","taxonID","taxon_name","year_2010","eez"
"91",800067,"Hippoglossoides robustus",1448.0235739805,"alaska"
"92",800075,"Lepidopsetta polyxystra",1448.0235739805,"alaska"
"93",800077,"Limanda proboscidea",1448.0235739805,"alaska"
"94",800078,"Liopsetta glacialis",1448.0235739805,"alaska"
"95",800085,"Macoma balthica",6.40000000002433,"alaska"
"96",800108,"Oligocottus maculosus",83.1690476190538,"alaska"
"97",800114,"Osmerus dentex",304.860509502723,"alaska"
"98",800115,"Osmerus mordax",304.860509502723,"alaska"
"99",800117,"Panopea generosa",6.40000000002433,"alaska"
"100",800130,"Prosopium coulteri",304.860509502723,"alaska"
"101",800131,"Protothaca stamineais",6.40000000002433,"alaska"
"102",800138,"Sarda lineolata",304.860509502723,"alaska"
"103",600107,"Katsuwonus pelamis",3995.31735073885,"Canada"
"104",600142,"Thunnus alalunga",4612.61612644372,"Canada"
"105",600240,"Oncorhynchus gorbuscha",17785.7666859348,"Canada"
"106",600241,"Oncorhynchus keta",15593.5954714742,"Canada"
"107",600243,"Oncorhynchus nerka",23736.7961592963,"Canada"
"108",600244,"Oncorhynchus tshawytscha",3597.13067166615,"Canada"
"109",600245,"Oncorhynchus kisutch",5001.62617330652,"Canada"
"110",600255,"Hypomesus pretiosus",3995.31735073885,"Canada"
"111",600308,"Gadus macrocephalus",7226.46841593737,"Canada"
"112",600318,"Theragra chalcogramma",7994.04274589555,"Canada"
"113",600387,"Selar crumenophthalmus",3995.31735073885,"Canada"
"114",600503,"Sebastes flavidus",5308.83775890213,"Canada"
"115",600504,"Sebastes alutus",15278.4091874736,"Canada"
"116",600509,"Ophiodon elongatus",7743.89558203133,"Canada"
"117",600512,"Anoplopoma fimbria",9125.84779768673,"Canada"
"118",600514,"Hippoglossus stenolepis",13776.6574867931,"Canada"
"119",600516,"Reinhardtius hippoglossoides",5131.89558203138,"Canada"
"120",600517,"Atheresthes stomias",5184.41939155512,"Canada"
"121",600752,"Isurus oxyrinchus",3995.31735073885,"Canada"
"122",600898,"Prionace glauca",3995.31735073885,"Canada"
"123",600998,"Naucrates ductor",3995.31735073885,"Canada"
"124",601215,"Mycteroperca tigris",5308.83775890213,"Canada"
"125",601477,"Sardinops sagax",4793.05599944117,"Canada"
"126",601520,"Clupea pallasii pallasii",28956.7639876479,"Canada"
"127",603989,"Sebastes pinniger",5308.83775890213,"Canada"
"128",604009,"Sebastolobus alascanus",5308.83775890213,"Canada"
"129",604237,"Eopsetta jordani",9127.21293277023,"Canada"
"130",604247,"Microstomus pacificus",5131.89558203138,"Canada"
"131",604248,"Parophrys vetulus",5131.89558203138,"Canada"
"132",604249,"Platichthys stellatus",5131.89558203138,"Canada"
"133",624237,"Lepidopsetta bilineata",5131.89558203138,"Canada"
"134",690064,"Saxidomus gigantea",446.13333333336,"Canada"
"135",690269,"Pandalus borealis",17.9285714285732,"Canada"
"136",690283,"Crassostrea gigas",1879.52380952382,"Canada"
"137",690284,"Panopea abrupta",6875.79354121499,"Canada"
