"","INDEX","X2000","X2087","change","EEZID"
"318",94459,120,117,-3,945
"319",94460,121,121,0,945
"320",94461,120,119,-1,945
"321",94462,46,41,-5,945
"322",94463,28,23,-5,945
"323",94464,107,103,-4,945
"324",94465,118,117,-1,945
"325",94466,109,108,-1,945
"326",95162,20,22,2,945
"327",95163,20,22,2,945
"328",95164,20,22,2,945
"329",95165,21,20,-1,945
"330",95166,21,20,-1,945
"331",95167,22,21,-1,945
"332",95168,22,21,-1,945
"333",95169,23,21,-2,945
"334",95170,23,21,-2,945
"335",95171,24,14,-10,945
"336",95172,24,14,-10,945
"337",95173,24,21,-3,945
"338",95174,25,21,-4,945
"339",95175,26,24,-2,945
"340",95176,62,57,-5,945
"341",95177,73,69,-4,945
"342",95178,75,66,-9,945
"343",95179,119,116,-3,945
"344",95180,112,111,-1,945
"345",95181,119,119,0,945
"346",95182,118,116,-2,945
"347",95183,25,22,-3,945
"348",95184,31,27,-4,945
"349",95185,92,89,-3,945
"350",95186,121,119,-2,945
"351",95187,109,109,0,945
"352",95882,19,21,2,945
"353",95883,20,22,2,945
"354",95884,20,22,2,945
"355",95885,21,20,-1,945
"356",95886,21,20,-1,945
"357",95887,22,21,-1,945
"358",95888,22,21,-1,945
"359",95889,22,21,-1,945
"360",95890,23,21,-2,945
"361",95891,24,14,-10,945
"362",95892,24,14,-10,945
"363",95893,24,21,-3,945
"364",95894,25,22,-3,945
"365",95895,25,23,-2,945
"366",95896,25,23,-2,945
"367",95897,36,33,-3,945
"368",95898,38,36,-2,945
"369",95899,66,57,-9,945
"370",95900,117,114,-3,945
"371",95901,114,110,-4,945
"372",95902,115,112,-3,945
"373",95903,26,21,-5,945
"374",95904,25,20,-5,945
"375",95905,24,22,-2,945
"376",95906,68,62,-6,945
"377",95907,121,114,-7,945
"378",95908,114,108,-6,945
"379",96603,17,20,3,945
"380",96604,19,21,2,945
"381",96605,21,21,0,945
"382",96606,22,21,-1,945
"383",96607,22,21,-1,945
"384",96608,22,21,-1,945
"385",96609,21,14,-7,945
"386",96610,22,14,-8,945
"387",96611,24,14,-10,945
"388",96612,24,14,-10,945
"389",96613,24,22,-2,945
"390",96614,25,22,-3,945
"391",96615,25,22,-3,945
"392",96616,25,22,-3,945
"393",96617,23,20,-3,945
"394",96618,23,20,-3,945
"395",96619,26,22,-4,945
"396",96620,112,108,-4,945
"397",96621,112,108,-4,945
"398",96622,39,36,-3,945
"399",96623,23,21,-2,945
"400",96624,23,21,-2,945
"401",96625,27,25,-2,945
"402",96626,27,25,-2,945
"403",96627,65,58,-7,945
"404",96628,115,111,-4,945
"405",96629,106,103,-3,945
"406",97324,15,19,4,945
"407",97325,19,20,1,945
"408",97326,19,20,1,945
"409",97327,22,21,-1,945
"410",97328,22,21,-1,945
"411",97329,21,14,-7,945
"412",97330,22,14,-8,945
"413",97331,23,14,-9,945
"414",97332,24,14,-10,945
"415",97333,24,22,-2,945
"416",97334,25,22,-3,945
"417",97335,26,22,-4,945
"418",97336,25,22,-3,945
