"INDEX","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
41066,0.674808105555531,NA,NA,NA,NA,NA,0.783426474140686,NA,NA,NA,NA,NA,NA,0.662681233954015,1.22722920804778,0.239854425345744,0.0986352957631664,NA,0.115376666520218,0.853763138810823,0.105043949461945,0.261442946749102,0.703516475675359,0,0,0.804850551558778,1.04976656468267,0.913429802425843,0,0,0,1.01449984686656,0.155464740936087,0,0.118052784613656,0.756155662090402,1.10410625020882,1.21116905161134,1.50866044192767,0,0.785733019443277,0.715041823111087,0,0,0,0,0,0,0,0,0,0,0.727996007129423,0.903179768658162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296632947602551,0,NA
41067,0.678164425258603,NA,NA,NA,NA,NA,0.357957962816672,NA,NA,NA,NA,NA,NA,NA,1.18311560988994,0.245323412361417,0.124153527100649,NA,NA,0.803750714629051,0.123043089478798,0,0.24658193319502,0,0,0.599959800660759,0.829148613364296,0,0,0,0,1.02473552282795,0.203416537948893,0,0,0.477735515304524,0.743942508638158,0,0,0,0.374238721816554,0.273989860926635,0,0,0,0,0,0,0,0,0,0,0.724752544581074,0.948998362062415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41068,0.723829471447368,NA,NA,NA,0.111988255243399,NA,0.264946389669341,NA,NA,NA,NA,NA,NA,NA,1.0815961394406,0.370018917910552,0.297006970827508,NA,0.0601612291698093,0.843287073133331,0.244303789397601,0,0,0,0,0.319650304005345,0.769626928430541,0,0,0,0,0.884196432983023,0.20628181698037,0,0,0,0.582139387964318,0,0,0,0.321374062887329,0.29802035358423,0,0,0,0,0,0,0,0,0,0,0.733648667114775,0.957168535133762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41069,0.923518969033266,NA,NA,NA,0.541344298572836,NA,0.209787217169769,NA,0.623147037967368,NA,0.543753942801509,NA,NA,NA,0.862782474592625,1.4795279364075,1.3268279410008,NA,0.484610458812475,1.13537922792125,1.15311535278019,0,0,0,0,0.175783829062465,0.76072986499925,0,0,0,0,0.306309647473726,0.456228056781894,0,0,0,0.532240589969622,0,0,0,0.61865109098022,0.813628210160221,0,0,0,0.688459400116939,0,0,0,0,0,0,0.724599817816262,1.0532864897483,0,0,0,0,0,0,0,0,0,0,0,0.173026540205226,0,0,0,0.476809399553841,NA
41070,1.30969148114554,NA,NA,NA,0.784002510075687,NA,0.592566718538274,NA,NA,NA,NA,NA,NA,NA,0.976814085063128,NA,NA,NA,0.671100200948871,1.2903943726003,1.55284524673483,0,0,0,0,0.12541657468408,0.948697114302453,0,0,0,0,0.283169519394755,0.634527574300506,0,0,0,0.723873172899886,0,0,0,0.801024695049976,1.20852069602378,0,0,0,0.980562007246616,0,0,0,0,0,0,1.17980835327683,1.41805153126081,0,0,0,0,0,0,0,0,0,0,0,0.648473411983868,0,0,0,0.785551642532084,NA
41771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640154162999811,0.612517675440834,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340539203159281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41772,NA,1.0645334530521,1.1787773692185,1.18899514213351,NA,NA,NA,0.68032182543991,NA,NA,0.253572097408181,0.822128841353811,NA,NA,0.515439681190982,0.864640170418838,0.78003595938639,NA,NA,0.609922361596026,0.958673208007168,0,0,0.544248047625149,0,0,0.72735871990191,0,0,0,0,0,0.673615959912849,0,0,0,0,0,0,0,0,0,0,0.657550207386214,0,0,0,0,0.733406624788898,0,0.573714420159335,0,0.574957251179437,0.813454668937776,0,0,0.117520114724972,0.705363729897463,0,0,0,0,0,0,0,0,0,0.564495537221149,0,0,NA
41773,2.59678317787696,2.14877985842407,2.34414742857445,1.93697174150945,2.52785360243432,NA,0.918398594210871,1.31819620468547,NA,NA,1.04409673319677,1.65856361340458,NA,0.605079814387383,1.55289921844068,1.66941554574282,1.45950169349876,NA,0.507172875858028,1.46556568421973,1.66550782227208,0,0.0598339419003131,1.13522379727892,1.39703090067937,2.05510605668121,2.83139882363957,2.25050980990201,0,0.711189222140826,0,0.466972322334185,1.71237821565774,1.09493065702973,1.4291375284687,2.23177888436094,3.00710349697198,2.09364008477654,0,0,0,0.948963116314023,0,0.685071091108241,0,0,1.0675621206811,1.25706775280738,1.93571594310572,0,0.943288997155476,0.959856614299237,1.23974083544165,1.80431977734398,0,0,0.663398769917656,1.25885392663499,0,0,0,0,0,0.404371525652915,1.27098543918401,0,0.121383101285494,1.1560758777736,0,0,NA
41774,2.85500810479045,2.5509441331203,2.76828131972764,2.28353169865715,2.45905947306287,NA,1.20853256371177,1.77683625619582,NA,0.348193156039825,1.46800624299323,2.11705228122871,NA,0.913444465931647,2.10656577736143,2.09164357621399,1.79139944325119,NA,0.814731623787909,1.89053301006757,2.23531496212208,0,1.13249162811729,1.63204827908427,1.91854635777042,2.71909354936413,3.729013252877,2.57342348917573,0,1.58775672458792,0,1.05719539710125,2.18653583040849,1.1959605002527,1.60462730182343,2.51905185218527,3.42852946944372,2.21074447405046,0,0,0,1.08485868376497,0,0.726504748025943,0,0.341341133847955,1.22750459572837,1.31575836410246,2.1881160425968,0,1.06606208817098,0.987301874803801,1.49973754795622,2.18207579698619,0,0,0.91571754238698,1.47835429646289,0,0,0,0,0,0.569798894358538,1.39884259902255,0,0.348792618405798,1.3956602606905,0,0,NA
41775,3.0062088264279,2.42509481369119,2.59322366902743,1.87967283079051,2.23756345617697,1.77862991595311,1.89342103304917,1.41368618566602,NA,0.543741833087173,1.77739753427906,2.07651910138352,1.4035061854074,2.28514871860687,2.83773597297707,2.25634933246045,2.54896579525264,NA,1.0424177773747,2.1906307720026,2.33604820972825,1.89655391959998,2.51103797633064,1.85661487154826,2.81005497962746,3.90888347655662,4.57319308294693,2.86717494186589,2.75593091006415,3.22858006577357,2.38474406622379,2.89140860786949,1.83602286410086,1.31160582527247,2.16938791161644,2.89161411975482,3.80504091646577,2.47913702311179,1.95209873587716,0,1.03414671931841,1.45981518107229,0,0.695839687721621,0,0.350873413490782,1.24784810173209,1.11032359973675,2.11193684613046,0,0.975019438584555,1.16837890468145,2.29380780144133,2.51904912751058,0,0,1.05828760536094,1.89925757777504,0,0,0,0,0,0.660660997318988,1.49716184868566,0,0.568192172260106,1.53207898906859,1.70452614725132,0,NA
