"","X","deltachange"
"243",41789,-2.0000000000003
"244",41790,0
"245",41791,-1.0000000000002
"246",41816,-2.0000000000002
"247",41817,-1.0000000000001
"248",41818,-1.0000000000002
"249",41819,0
"250",41820,0
"251",41821,-1
"252",41822,0
"253",41823,0
"254",41824,-1.0000000000001
"255",41825,-1.0000000000001
"256",41826,-2.0000000000003
"257",41827,0
"258",41828,-2.0000000000001
"259",41829,0
"260",42481,0
"261",42482,0
"262",42483,0
"263",42484,0
"264",42485,0
"265",42486,0
"266",42487,-1.0000000000001
"267",42488,0
"268",42489,-1.0000000000001
"269",42490,-1.0000000000002
"270",42491,0
"271",42492,0
"272",42493,0
"273",42494,-1
"274",42495,-1.0000000000001
"275",42496,0
"276",42497,0
"277",42498,-1.0000000000002
"278",42499,0
"279",42500,-2.0000000000004
"280",42501,-1.0000000000001
"281",42502,-1.0000000000003
"282",42503,-1.0000000000001
"283",42504,-2.0000000000002
"284",42505,0
"285",42506,0
"286",42507,0
"287",42508,0
"288",42509,-1.0000000000002
"289",42510,-1
"290",42511,0
"291",42512,0
"292",42516,0
"293",42535,0
"294",42536,0
"295",42537,0
"296",42538,-2.0000000000001
"297",42544,-2.0000000000002
"298",42545,-1.0000000000002
"299",42546,-2.0000000000001
"300",42547,-2.0000000000001
"301",42548,-3.0000000000002
"302",42549,-2.0000000000004
"303",42550,-3.0000000000004
"304",42551,-2.0000000000002
"305",42552,-1.0000000000002
"306",42553,-2.0000000000002
"307",42554,-1.0000000000002
"308",42555,0
"309",42556,-1.0000000000001
"310",42557,-1.0000000000003
"311",42558,0
"312",42561,0
"313",42562,0
"314",43201,0
"315",43202,0
"316",43203,-3.00000000000044
"317",43204,-2.0000000000002
"318",43205,-1.0000000000002
"319",43206,-1.0000000000001
"320",43207,-1.0000000000003
"321",43208,0
"322",43209,0
"323",43210,-1.0000000000002
"324",43211,-1
"325",43212,0
"326",43213,0
"327",43214,-1
"328",43215,0
"329",43216,-1.0000000000003
"330",43217,-2.0000000000003
"331",43218,-2.0000000000002
"332",43219,-1.0000000000001
"333",43220,0
"334",43221,-1.0000000000002
"335",43222,-2
"336",43223,-1.0000000000003
"337",43224,-1.0000000000002
"338",43225,-5.0000000000007
"339",43226,-2.0000000000001
"340",43227,-4.0000000000008
"341",43228,-1.0000000000001
"342",43229,-2.0000000000002
"343",43230,0
"344",43231,-1
"345",43232,-1.0000000000002
"346",43233,0
"347",43234,-1
"348",43235,0
"349",43236,-1.0000000000003
"350",43237,0
"351",43253,-1
"352",43254,-5.0000000000006
"353",43255,-2.0000000000003
"354",43256,-1.0000000000001
"355",43257,-1.0000000000002
"356",43258,-2.0000000000001
"357",43259,0
"358",43260,0
"359",43261,0
"360",43262,-1.0000000000002
"361",43263,-1.0000000000001
"362",43264,-1.0000000000001
"363",43265,-1.0000000000001
"364",43266,0
"365",43267,-1.0000000000001
"366",43268,-1
"367",43269,-1
"368",43270,-1.0000000000001
"369",43271,-1
"370",43272,-1.0000000000003
"371",43273,0
"372",43274,-1.0000000000001
"373",43275,-2.0000000000003
"374",43276,-1.0000000000002
"375",43277,-1
"376",43278,-3.0000000000003
"377",43279,-2.0000000000003
"378",43280,0
"379",43281,0
"380",43282,0
"381",43922,0
"382",43923,0
"383",43924,0
"384",43925,-1
"385",43926,0
"386",43927,-2.0000000000001
"387",43928,-1
"388",43929,-1.0000000000002
"389",43930,-1.0000000000001
"390",43931,-1
"391",43932,-1.0000000000002
"392",43933,-1.0000000000001
"393",43934,0
"394",43935,0
"395",43936,0
"396",43937,-1.0000000000002
"397",43938,-1.0000000000002
"398",43939,-2.0000000000003
"399",43940,-1
"400",43941,-2.0000000000001
"401",43942,0
