"","X","deltachange"
"618",103084,0
"619",103085,0
"620",103086,0
"621",103087,0
"622",103088,0
"623",103089,0
"624",103090,0
"625",103091,0
"626",103092,0
"627",103093,0
"628",103094,0
"629",103095,0
"630",103096,0
"631",103097,0
"632",103098,0
"633",103099,0
"634",103100,0
"635",103101,0
"636",103102,0
"637",103103,0
"638",103104,0
"639",103105,0
"640",103106,0
"641",103107,0
"642",103108,0
"643",103109,0
"644",103110,0
"645",103111,0
"646",103112,0
"647",103113,-2.0000000000003
"648",103114,0
"649",103115,-1
"650",103116,0
"651",103804,0
"652",103805,0
"653",103806,0
"654",103807,0
"655",103808,0
"656",103809,0
"657",103810,-1.00000000000023
"658",103811,0
"659",103812,0
"660",103813,0
"661",103814,-1.0000000000004
"662",103815,0
"663",103816,0
"664",103817,-1.0000000000002
"665",103818,0
"666",103819,0
"667",103820,0
"668",103821,0
"669",103822,0
"670",103823,0
"671",103824,0
"672",103825,0
"673",103826,-1.00000000000066
"674",103827,0
"675",103828,0
"676",103829,0
"677",103830,0
"678",103831,0
"679",103832,0
"680",103833,-1.00000000000031
"681",103834,-1.00000000000017
"682",103835,0
"683",103836,-1
"684",103837,-3.0000000000005
"685",103838,-3.0000000000002
"686",104524,0
"687",104525,0
"688",104526,0
"689",104527,0
"690",104528,0
"691",104529,0
"692",104530,0
"693",104531,0
"694",104532,0
"695",104533,0
"696",104534,0
"697",104535,0
"698",104536,-1.00000000000012
"699",104537,0
"700",104538,0
"701",104539,0
"702",104540,-1.00000000000019
"703",104541,-1.00000000000023
"704",104542,0
"705",104543,0
"706",104544,0
"707",104545,0
"708",104546,0
"709",104547,0
"710",104548,0
"711",104549,-1.00000000000016
"712",104550,0
"713",104551,0
"714",104552,0
"715",104553,0
"716",104554,0
"717",104555,0
"718",104556,0
"719",104557,0
"720",104558,-1
"721",104559,-2.0000000000005
"722",104560,-4.0000000000006
"723",105245,0
"724",105246,0
"725",105247,0
"726",105248,0
"727",105249,0
"728",105250,0
"729",105251,0
"730",105252,0
"731",105253,0
"732",105254,-1.00000000000021
"733",105255,0
"734",105256,-1.00000000000007
"735",105257,0
"736",105258,-1.00000000000017
"737",105259,0
"738",105260,0
"739",105261,0
"740",105262,0
"741",105263,0
"742",105264,0
"743",105265,0
"744",105266,0
"745",105267,-1.00000000000033
"746",105268,0
"747",105269,-1.00000000000023
"748",105270,-1.00000000000003
"749",105271,-1.0000000000003
"750",105272,0
"751",105273,0
"752",105274,-1.00000000000012
"753",105275,-1.00000000000021
"754",105276,0
"755",105277,0
"756",105278,-1.00000000000025
"757",105279,-1.00000000000024
"758",105280,0
"759",105281,-1
"760",105282,-1.0000000000003
"761",105283,0
"762",105965,0
"763",105966,0
"764",105967,0
"765",105968,0
"766",105969,-1.00000000000032
"767",105970,0
"768",105971,0
"769",105972,0
"770",105973,0
"771",105974,0
"772",105975,0
"773",105976,0
"774",105977,0
"775",105978,0
"776",105979,0
"777",105980,0
"778",105981,0
"779",105982,0
"780",105983,0
