"","X","deltachange"
"252",41822,-2.0000000000004
"253",41823,0
"254",41824,-1
"255",41825,0
"256",41826,-1
"257",41827,-3.0000000000003
"258",41828,-1
"259",41829,-2.0000000000003
"260",42481,0
"261",42482,0
"262",42483,-2.00000000000034
"263",42484,0
"264",42485,-1.0000000000002
"265",42486,0
"266",42487,0
"267",42488,-1.0000000000003
"268",42489,0
"269",42490,0
"270",42491,-1.0000000000001
"271",42492,-2.0000000000002
"272",42493,-1.0000000000001
"273",42494,0
"274",42495,0
"275",42496,-1
"276",42497,-1
"277",42498,-1.0000000000002
"278",42499,-1
"279",42500,-1.0000000000001
"280",42501,0
"281",42502,0
"282",42503,-1.0000000000003
"283",42504,-1.0000000000002
"284",42505,0
"285",42506,0
"286",42507,-1.0000000000001
"287",42508,-1
"288",42509,0
"289",42510,-1
"290",42511,0
"291",42512,0
"292",42516,0
"293",42535,0
"294",42536,-1
"295",42537,0
"296",42538,-1
"297",42544,-2.0000000000003
"298",42545,-1.0000000000001
"299",42546,0
"300",42547,-1.0000000000003
"301",42548,-1.0000000000002
"302",42549,-1
"303",42550,-3.0000000000001
"304",42551,-2.0000000000003
"305",42552,0
"306",42553,-1.0000000000002
"307",42554,0
"308",42555,-3.0000000000005
"309",42556,-1.0000000000002
"310",42557,0
"311",42558,0
"312",42561,0
"313",42562,0
"314",43201,0
"315",43202,0
"316",43203,-2.0000000000001
"317",43204,-2.0000000000004
"318",43205,0
"319",43206,-1.0000000000003
"320",43207,-1.0000000000002
"321",43208,-1.0000000000002
"322",43209,-1.0000000000002
"323",43210,-1.0000000000001
"324",43211,-2.0000000000003
"325",43212,-1.0000000000003
"326",43213,0
"327",43214,-1.0000000000002
"328",43215,0
"329",43216,0
"330",43217,-2.0000000000002
"331",43218,0
"332",43219,-1.0000000000003
"333",43220,-1.0000000000003
"334",43221,-1.0000000000002
"335",43222,0
"336",43223,-1.0000000000001
"337",43224,0
"338",43225,0
"339",43226,-1.0000000000001
"340",43227,-1.0000000000001
"341",43228,0
"342",43229,-1.0000000000002
"343",43230,0
"344",43231,-1.0000000000001
"345",43232,-2.0000000000003
"346",43233,0
"347",43234,0
"348",43235,-3.0000000000003
"349",43236,-2.0000000000001
"350",43237,0
"351",43253,-1
"352",43254,-1.0000000000001
"353",43255,-3.0000000000003
"354",43256,0
"355",43257,-1
"356",43258,-1
"357",43259,-1
"358",43260,-1.0000000000002
"359",43261,-1.0000000000001
"360",43262,-3.0000000000004
"361",43263,-1.0000000000001
"362",43264,-2.0000000000001
"363",43265,-1.0000000000002
"364",43266,-1.0000000000002
"365",43267,0
"366",43268,0
"367",43269,0
"368",43270,-1.0000000000001
"369",43271,-1.0000000000001
"370",43272,-2.0000000000002
"371",43273,-1.0000000000001
"372",43274,-1.0000000000001
"373",43275,-1.0000000000001
"374",43276,-1.0000000000002
"375",43277,-4.0000000000005
"376",43278,-2.0000000000001
"377",43279,-1
"378",43280,-3.0000000000003
"379",43281,-2.0000000000003
"380",43282,-1.0000000000002
"381",43922,0
"382",43923,0
"383",43924,0
"384",43925,-1.0000000000001
"385",43926,-1
"386",43927,0
"387",43928,0
"388",43929,0
"389",43930,0
"390",43931,-1.0000000000001
"391",43932,-1.0000000000001
"392",43933,0
"393",43934,0
"394",43935,0
"395",43936,0
"396",43937,0
"397",43938,-1.0000000000002
"398",43939,0
"399",43940,-1.0000000000001
"400",43941,0
"401",43942,0
"402",43943,-1.0000000000001
"403",43944,-1.0000000000002
"404",43945,0
"405",43946,0
"406",43947,-1.0000000000001
"407",43948,0
"408",43949,-2.0000000000003
"409",43950,0
"410",43951,0
"411",43952,0
"412",43953,0
"413",43954,-2.0000000000001
"414",43955,-1.0000000000002
